Time,QueueLength,QueueStatus
84.0,2,"[(2, 'Emergence_Patient', 190), (9, 'Naive_Patient', inf)]"
84.6,1,"[(2, 'Emergence_Patient', 190)]"
85.0,1,"[(2, 'Emergence_Patient', 190)]"
86.0,1,"[(2, 'Emergence_Patient', 190)]"
87.0,1,"[(2, 'Emergence_Patient', 190)]"
88.0,1,"[(2, 'Emergence_Patient', 190)]"
89.0,1,"[(2, 'Emergence_Patient', 190)]"
90.0,1,"[(2, 'Emergence_Patient', 190)]"
91.0,1,"[(2, 'Emergence_Patient', 190)]"
92.0,1,"[(2, 'Emergence_Patient', 190)]"
93.0,1,"[(2, 'Emergence_Patient', 190)]"
94.0,1,"[(2, 'Emergence_Patient', 190)]"
95.0,1,"[(2, 'Emergence_Patient', 190)]"
96.0,1,"[(2, 'Emergence_Patient', 190)]"
97.0,2,"[(2, 'Emergence_Patient', 190), (10, 'Emergence_Patient', 269)]"
97.0,2,"[(2, 'Emergence_Patient', 190), (10, 'Emergence_Patient', 269)]"
97.0,1,"[(2, 'Emergence_Patient', 190)]"
97.0,1,"[(2, 'Emergence_Patient', 190)]"
98.0,1,"[(2, 'Emergence_Patient', 190)]"
99.0,1,"[(2, 'Emergence_Patient', 190)]"
100.0,1,"[(2, 'Emergence_Patient', 190)]"
101.0,1,"[(2, 'Emergence_Patient', 190)]"
102.0,1,"[(2, 'Emergence_Patient', 190)]"
103.0,1,"[(2, 'Emergence_Patient', 190)]"
104.0,1,"[(2, 'Emergence_Patient', 190)]"
105.0,1,"[(2, 'Emergence_Patient', 190)]"
106.0,1,"[(2, 'Emergence_Patient', 190)]"
107.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
107.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
108.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
109.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
110.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
111.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
112.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
113.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
114.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
115.0,2,"[(2, 'Emergence_Patient', 190), (11, 'Naive_Patient', inf)]"
115.2,1,"[(2, 'Emergence_Patient', 190)]"
116.0,1,"[(2, 'Emergence_Patient', 190)]"
117.0,1,"[(2, 'Emergence_Patient', 190)]"
118.0,1,"[(2, 'Emergence_Patient', 190)]"
119.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
119.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
120.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
121.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
122.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
123.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
124.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
125.0,2,"[(2, 'Emergence_Patient', 190), (12, 'Naive_Patient', inf)]"
126.0,1,"[(2, 'Emergence_Patient', 190)]"
126.0,1,"[(2, 'Emergence_Patient', 190)]"
127.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
127.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
128.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
129.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
130.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
131.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
132.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
133.0,2,"[(2, 'Emergence_Patient', 190), (13, 'Naive_Patient', inf)]"
133.4,1,"[(2, 'Emergence_Patient', 190)]"
134.0,1,"[(2, 'Emergence_Patient', 190)]"
135.0,1,"[(2, 'Emergence_Patient', 190)]"
136.0,1,"[(2, 'Emergence_Patient', 190)]"
137.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
137.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
138.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
139.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
140.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
141.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
142.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
143.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
144.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
145.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
146.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
147.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
148.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
149.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
150.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (15, 'Emergence_Patient', 405)]"
150.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (15, 'Emergence_Patient', 405)]"
151.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (15, 'Emergence_Patient', 405)]"
152.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (15, 'Emergence_Patient', 405)]"
153.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (15, 'Emergence_Patient', 405)]"
154.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (15, 'Emergence_Patient', 405)]"
155.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (15, 'Emergence_Patient', 405)]"
155.2,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
156.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
157.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
158.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
159.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
160.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
160.39999999999998,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
161.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (16, 'Emergence_Patient', 385)]"
161.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (16, 'Emergence_Patient', 385)]"
162.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (16, 'Emergence_Patient', 385)]"
162.4,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
163.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
163.8,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
164.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
165.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
166.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
167.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
168.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
169.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
170.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (17, 'Emergence_Patient', 368)]"
170.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (17, 'Emergence_Patient', 368)]"
171.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (17, 'Emergence_Patient', 368)]"
172.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (17, 'Emergence_Patient', 368)]"
173.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (17, 'Emergence_Patient', 368)]"
174.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (17, 'Emergence_Patient', 368)]"
174.4,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
175.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
176.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
177.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
178.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
178.8,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
179.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
180.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
181.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
182.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (18, 'Naive_Patient', inf)]"
182.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (18, 'Naive_Patient', inf)]"
183.0,3,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717), (18, 'Naive_Patient', inf)]"
183.6,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
184.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
185.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
186.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
187.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
188.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
189.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
190.0,2,"[(2, 'Emergence_Patient', 190), (14, 'Emergence_Patient', 717)]"
191.0,1,"[(14, 'Emergence_Patient', 717)]"
192.0,1,"[(14, 'Emergence_Patient', 717)]"
193.0,2,"[(14, 'Emergence_Patient', 717), (19, 'Naive_Patient', inf)]"
193.0,2,"[(14, 'Emergence_Patient', 717), (19, 'Naive_Patient', inf)]"
194.0,2,"[(14, 'Emergence_Patient', 717), (19, 'Naive_Patient', inf)]"
195.0,2,"[(14, 'Emergence_Patient', 717), (19, 'Naive_Patient', inf)]"
196.0,2,"[(14, 'Emergence_Patient', 717), (19, 'Naive_Patient', inf)]"
197.0,2,"[(14, 'Emergence_Patient', 717), (19, 'Naive_Patient', inf)]"
198.0,1,"[(14, 'Emergence_Patient', 717)]"
198.0,1,"[(14, 'Emergence_Patient', 717)]"
199.0,1,"[(14, 'Emergence_Patient', 717)]"
200.0,1,"[(14, 'Emergence_Patient', 717)]"
201.0,1,"[(14, 'Emergence_Patient', 717)]"
202.0,1,"[(14, 'Emergence_Patient', 717)]"
203.0,2,"[(14, 'Emergence_Patient', 717), (20, 'Nylon_Patient', inf)]"
203.0,2,"[(14, 'Emergence_Patient', 717), (20, 'Nylon_Patient', inf)]"
204.0,2,"[(14, 'Emergence_Patient', 717), (20, 'Nylon_Patient', inf)]"
205.0,2,"[(14, 'Emergence_Patient', 717), (20, 'Nylon_Patient', inf)]"
205.2,1,"[(14, 'Emergence_Patient', 717)]"
206.0,1,"[(14, 'Emergence_Patient', 717)]"
207.0,1,"[(14, 'Emergence_Patient', 717)]"
207.39999999999998,1,"[(14, 'Emergence_Patient', 717)]"
208.0,1,"[(14, 'Emergence_Patient', 717)]"
209.0,1,"[(14, 'Emergence_Patient', 717)]"
210.0,2,"[(21, 'Emergence_Patient', 211), (14, 'Emergence_Patient', 717)]"
210.0,2,"[(21, 'Emergence_Patient', 211), (14, 'Emergence_Patient', 717)]"
211.0,2,"[(21, 'Emergence_Patient', 211), (14, 'Emergence_Patient', 717)]"
212.0,1,"[(14, 'Emergence_Patient', 717)]"
213.0,1,"[(14, 'Emergence_Patient', 717)]"
214.0,1,"[(14, 'Emergence_Patient', 717)]"
215.0,1,"[(14, 'Emergence_Patient', 717)]"
215.0,1,"[(14, 'Emergence_Patient', 717)]"
216.0,1,"[(14, 'Emergence_Patient', 717)]"
217.0,1,"[(14, 'Emergence_Patient', 717)]"
218.0,1,"[(14, 'Emergence_Patient', 717)]"
219.0,1,"[(14, 'Emergence_Patient', 717)]"
220.0,1,"[(14, 'Emergence_Patient', 717)]"
221.0,1,"[(14, 'Emergence_Patient', 717)]"
222.0,2,"[(22, 'Emergence_Patient', 527), (14, 'Emergence_Patient', 717)]"
222.0,2,"[(22, 'Emergence_Patient', 527), (14, 'Emergence_Patient', 717)]"
223.0,2,"[(22, 'Emergence_Patient', 527), (14, 'Emergence_Patient', 717)]"
224.0,2,"[(22, 'Emergence_Patient', 527), (14, 'Emergence_Patient', 717)]"
225.0,2,"[(22, 'Emergence_Patient', 527), (14, 'Emergence_Patient', 717)]"
225.4,1,"[(14, 'Emergence_Patient', 717)]"
226.0,1,"[(14, 'Emergence_Patient', 717)]"
227.0,1,"[(14, 'Emergence_Patient', 717)]"
228.0,1,"[(14, 'Emergence_Patient', 717)]"
228.8,1,"[(14, 'Emergence_Patient', 717)]"
229.0,2,"[(14, 'Emergence_Patient', 717), (23, 'Naive_Patient', inf)]"
229.0,2,"[(14, 'Emergence_Patient', 717), (23, 'Naive_Patient', inf)]"
230.0,2,"[(14, 'Emergence_Patient', 717), (23, 'Naive_Patient', inf)]"
231.0,2,"[(14, 'Emergence_Patient', 717), (23, 'Naive_Patient', inf)]"
232.0,2,"[(14, 'Emergence_Patient', 717), (23, 'Naive_Patient', inf)]"
233.0,2,"[(14, 'Emergence_Patient', 717), (23, 'Naive_Patient', inf)]"
234.0,1,"[(14, 'Emergence_Patient', 717)]"
234.0,1,"[(14, 'Emergence_Patient', 717)]"
235.0,1,"[(14, 'Emergence_Patient', 717)]"
236.0,2,"[(24, 'Emergence_Patient', 367), (14, 'Emergence_Patient', 717)]"
236.0,2,"[(24, 'Emergence_Patient', 367), (14, 'Emergence_Patient', 717)]"
236.8,1,"[(14, 'Emergence_Patient', 717)]"
237.0,1,"[(14, 'Emergence_Patient', 717)]"
237.60000000000002,1,"[(14, 'Emergence_Patient', 717)]"
238.0,1,"[(14, 'Emergence_Patient', 717)]"
239.0,1,"[(14, 'Emergence_Patient', 717)]"
240.0,1,"[(14, 'Emergence_Patient', 717)]"
241.0,1,"[(14, 'Emergence_Patient', 717)]"
242.0,1,"[(14, 'Emergence_Patient', 717)]"
243.0,1,"[(14, 'Emergence_Patient', 717)]"
244.0,1,"[(14, 'Emergence_Patient', 717)]"
245.0,1,"[(14, 'Emergence_Patient', 717)]"
246.0,2,"[(25, 'Emergence_Patient', 627), (14, 'Emergence_Patient', 717)]"
246.0,2,"[(25, 'Emergence_Patient', 627), (14, 'Emergence_Patient', 717)]"
247.0,2,"[(25, 'Emergence_Patient', 627), (14, 'Emergence_Patient', 717)]"
248.0,2,"[(25, 'Emergence_Patient', 627), (14, 'Emergence_Patient', 717)]"
249.0,2,"[(25, 'Emergence_Patient', 627), (14, 'Emergence_Patient', 717)]"
249.4,1,"[(14, 'Emergence_Patient', 717)]"
250.0,1,"[(14, 'Emergence_Patient', 717)]"
251.0,1,"[(14, 'Emergence_Patient', 717)]"
252.0,1,"[(14, 'Emergence_Patient', 717)]"
252.8,1,"[(14, 'Emergence_Patient', 717)]"
253.0,1,"[(14, 'Emergence_Patient', 717)]"
254.0,1,"[(14, 'Emergence_Patient', 717)]"
255.0,1,"[(14, 'Emergence_Patient', 717)]"
256.0,1,"[(14, 'Emergence_Patient', 717)]"
257.0,1,"[(14, 'Emergence_Patient', 717)]"
258.0,1,"[(14, 'Emergence_Patient', 717)]"
259.0,1,"[(14, 'Emergence_Patient', 717)]"
260.0,1,"[(14, 'Emergence_Patient', 717)]"
261.0,2,"[(26, 'Emergence_Patient', 283), (14, 'Emergence_Patient', 717)]"
261.0,2,"[(26, 'Emergence_Patient', 283), (14, 'Emergence_Patient', 717)]"
262.0,2,"[(26, 'Emergence_Patient', 283), (14, 'Emergence_Patient', 717)]"
263.0,2,"[(26, 'Emergence_Patient', 283), (14, 'Emergence_Patient', 717)]"
263.4,1,"[(14, 'Emergence_Patient', 717)]"
264.0,1,"[(14, 'Emergence_Patient', 717)]"
265.0,1,"[(14, 'Emergence_Patient', 717)]"
265.79999999999995,1,"[(14, 'Emergence_Patient', 717)]"
266.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
266.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
267.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
268.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
269.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
270.0,3,"[(28, 'Emergence_Patient', 296), (14, 'Emergence_Patient', 717), (27, 'Emergence_Patient', 318)]"
270.0,3,"[(28, 'Emergence_Patient', 296), (14, 'Emergence_Patient', 717), (27, 'Emergence_Patient', 318)]"
270.6,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
271.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
271.20000000000005,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
272.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
273.0,2,"[(27, 'Emergence_Patient', 318), (14, 'Emergence_Patient', 717)]"
274.0,1,"[(14, 'Emergence_Patient', 717)]"
274.0,1,"[(14, 'Emergence_Patient', 717)]"
275.0,1,"[(14, 'Emergence_Patient', 717)]"
276.0,1,"[(14, 'Emergence_Patient', 717)]"
277.0,1,"[(14, 'Emergence_Patient', 717)]"
278.0,1,"[(14, 'Emergence_Patient', 717)]"
279.0,1,"[(14, 'Emergence_Patient', 717)]"
280.0,1,"[(14, 'Emergence_Patient', 717)]"
281.0,1,"[(14, 'Emergence_Patient', 717)]"
282.0,2,"[(29, 'Emergence_Patient', 321), (14, 'Emergence_Patient', 717)]"
282.0,2,"[(29, 'Emergence_Patient', 321), (14, 'Emergence_Patient', 717)]"
282.0,2,"[(29, 'Emergence_Patient', 321), (14, 'Emergence_Patient', 717)]"
283.0,2,"[(29, 'Emergence_Patient', 321), (14, 'Emergence_Patient', 717)]"
284.0,2,"[(29, 'Emergence_Patient', 321), (14, 'Emergence_Patient', 717)]"
285.0,2,"[(29, 'Emergence_Patient', 321), (14, 'Emergence_Patient', 717)]"
285.8,1,"[(14, 'Emergence_Patient', 717)]"
286.0,1,"[(14, 'Emergence_Patient', 717)]"
287.0,1,"[(14, 'Emergence_Patient', 717)]"
288.0,1,"[(14, 'Emergence_Patient', 717)]"
289.0,1,"[(14, 'Emergence_Patient', 717)]"
289.6,1,"[(14, 'Emergence_Patient', 717)]"
290.0,1,"[(14, 'Emergence_Patient', 717)]"
291.0,1,"[(14, 'Emergence_Patient', 717)]"
292.0,1,"[(14, 'Emergence_Patient', 717)]"
293.0,1,"[(14, 'Emergence_Patient', 717)]"
294.0,1,"[(14, 'Emergence_Patient', 717)]"
295.0,1,"[(14, 'Emergence_Patient', 717)]"
296.0,1,"[(14, 'Emergence_Patient', 717)]"
297.0,1,"[(14, 'Emergence_Patient', 717)]"
298.0,2,"[(30, 'Emergence_Patient', 339), (14, 'Emergence_Patient', 717)]"
298.0,2,"[(30, 'Emergence_Patient', 339), (14, 'Emergence_Patient', 717)]"
298.4,1,"[(14, 'Emergence_Patient', 717)]"
298.79999999999995,1,"[(14, 'Emergence_Patient', 717)]"
299.0,1,"[(14, 'Emergence_Patient', 717)]"
300.0,1,"[(14, 'Emergence_Patient', 717)]"
301.0,1,"[(14, 'Emergence_Patient', 717)]"
302.0,1,"[(14, 'Emergence_Patient', 717)]"
